folder_name,noise_level,nlm_h,nlm_tws,nlm_sws,gb_kernel,clahe_cl,clahe_tgs,thresh_bs,thresh_c,morphx_kernel,kernel_open,kernel_close
PL,6.985424958436194,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,7.943039951634843,5,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,25.35782086161021,5,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,30.210073504844637,5,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,33.5369372605364,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,33.71251182592242,7,29,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,35.1704890483117,10,25,42,"(3,3)",2.5,"(20,20)",33,9.1,"(2,2)","(2,2)","(6,6)"
PL,39.063061434334074,7,30,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(6,5)"
HR,25.77231279358939,5,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,32.444198653185495,10,29,43,"(3,3)",2.3,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,33.38063607085346,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,34.41084959816303,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,34.689350597209675,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,35.751185395922235,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,36.03408540523087,14,30,44,"(3,3)",2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,36.43765854895992,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,36.76650256849315,15,30,44,"(3,3)",2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,41.7060248065194,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
MD,36.265324939952414,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
MD,37.54488725990535,9,29,43,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
MD,38.17163120567376,18,20,42,"(3,3)",1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
MD,38.86193493666804,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
MD,39.6308216584627,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,29.417988673867388,11,30,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(6,6)"
HU,31.428166351606805,18,20,42,"(3,3)",1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,32.927469535908735,7,29,42,"(3,3)",2.3,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,33.842695599822,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,35.00554232211505,7,29,42,"(3,3)",2.2,"(20,20)",33,12.1,"(2,2)","(2,2)","(7,7)"
AT,43.74709719854491,19,29,42,"(3,3)",1.5,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
AT,46.38573857385739,15,19,99,"(3,3)",1,"(3,3)",25,17,"(2,2)","(2,2)","(5,5)"
AT,47.389456469068,20,29,42,"(3,3)",1.0,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
AT,49.70864460005071,17,19,55,"(3,3)",1,"(15,15)",25,19,"(2,2)","(2,2)","(5,5)"
AT,52.40688446872102,23,29,42,"(3,3)",1.0,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
AT,53.368469569394215,19,29,42,"(3,3)",4,"(20,20)",33,23,"(3,3)","(2,2)","(7,7)"
RO,15.754526745173317,14,19,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,33.36215556012145,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,33.665987515735104,11,30,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,35.036940176528276,12,29,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
RO,40.14930375367584,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,26.48271875380309,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,26.715517727298348,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,33.361481963593526,10,29,42,"(3,3)",2.2,"(25,25)",35,9.2,"(2,2)","(2,2)","(5,5)"
SI,34.82636885162429,12,31,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,37.46499831405492,7,29,42,"(3,3)",2.2,"(25,25)",35,9.2,"(2,2)","(2,2)","(5,5)"
AT,51.343919366148725,25,29,42,"(3,3)",2.1,"(27,27)",27,9.1,"(2,2)","(2,2)","(5,5)"
AT,57.56028569408104,24,19,55,"(3,3)",1,"(3,3)",43,21,"(2,2)","(2,2)","(5,5)"
AT,48.04559793518784,22,29,42,"(3,3)",1.1,"(20,20)",19,9.1,"(2,2)","(2,2)","(5,5)"
AT,54.18924570575056,28,9,42,"(3,3)",1.7,"(20,20)",33,19.9,"(3,3)","(2,2)","(7,7)"
AT,51.343919366148725,24,9,42,"(3,3)",1.7,"(20,20)",33,16.9,"(3,3)","(2,2)","(7,7)"
AT,48.30483907354489,17,19,55,"(3,3)",1,"(15,15)",29,20,"(2,2)","(2,2)","(5,5)"
AT,53.52943792244753,27,19,42,"(3,3)",5,"(21,20)",37,23,"(3,3)","(2,2)","(7,7)"
PL,32.56239207018029,17,29,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,38.468549638297475,23,29,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
AT,56.10519335547243,24,19,55,"(3,3)",1,"(3,3)",43,21,"(2,2)","(2,2)","(5,5)"
AT,52.40688446872102,23,29,42,"(3,3)",1.0,"(20,19)",33,20.1,"(2,2)","(2,2)","(5,5)"
PL,31.648324289818067,17,29,42,"(3,3)",2.1,"(20,20)",43,11.9,"(3,3)","(2,2)","(5,5)"
MD,37.9057914192898,10,30,43,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
MD,38.17456915030438,10,30,43,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
AT,49.66297836772871,17,19,55,"(3,3)",1.7,"(15,15)",29,19,"(2,2)","(2,2)","(5,5)"
MD,38.90490808495449,17,30,43,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,37.05597659885653,10,30,44,"(3,3)",2,"(20,20)",33,9.9,"(2,2)","(2,2)","(5,5)"
HR,34.13310735002745,9,29,42,"(3,3)",2.2,"(20,20)",35,11.1,"(2,2)","(2,2)","(5,5)"
HU,28.604020052058228,15,30,42,"(3,3)",2.2,"(30,30)",33,9.1,"(2,2)","(2,2)","(7,7)"
HR,35.64218390305347,10,30,44,"(3,3)",2,"(20,20)",33,9.9,"(2,2)","(2,2)","(5,5)"
HU,33.58410742205463,16,30,42,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(7,7)"
HR,28.558932496075354,14,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,36.87967883826315,11,30,44,"(3,3)",2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,35.719156190070315,17,29,42,"(3,3)",2.2,"(20,20)",33,9.3,"(2,2)","(2,2)","(5,5)"
HU,35.469769906316586,22,30,42,"(3,3)",2.1,"(15,15)",35,9.3,"(2,2)","(2,2)","(7,7)"
HU,33.4446074834923,21,30,40,"(3,3)",2,"(20,20)",35,9.1,"(2,2)","(2,2)","(7,7)"
HU,31.57549688893367,11,30,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(6,6)"
HR,34.07271892785019,13,30,42,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(6,6)"
HR,39.21058994197292,9,30,44,"(3,3)",2,"(20,20)",45,7.1,"(2,2)","(2,2)","(6,6)"
AT,49.674042527845614,24,19,55,"(3,3)",1.8,"(15,15)",53,19,"(2,2)","(2,2)","(5,5)"
AT,57.56028569408104,27,19,42,"(3,3)",1.1,"(20,20)",33,23,"(3,3)","(2,2)","(9,9)"
AT,49.674042527845614,21,19,55,"(3,3)",1,"(15,15)",39,19,"(2,2)","(2,2)","(5,5)"
AT,48.06844888366628,20,29,42,"(3,3)",1.0,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
HR,35.64105221203667,18,29,42,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,27.706517103921385,16,29,42,"(3,3)",2.1,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
AT,48.712645025196295,25,29,42,"(3,3)",2.3,"(20,20)",37,20.1,"(2,2)","(2,2)","(5,5)"
HR,25.153691004437274,7,30,42,"(3,3)",2.2,"(25,25)",33,9.1,"(2,2)","(3,3)","(5,5)"
AT,48.01906171387947,21,19,55,"(3,3)",1,"(15,15)",33,19,"(2,2)","(2,2)","(5,5)"
AT,50.136029374162604,20,19,55,"(3,3)",1,"(15,15)",33,17.5,"(2,2)","(2,2)","(5,5)"
AT,48.01906171387947,19,19,55,"(3,3)",1,"(15,15)",35,19,"(2,2)","(2,2)","(5,5)"
AT,49.177780423910455,21,19,55,"(3,3)",1,"(15,15)",35,19,"(2,2)","(2,2)","(5,5)"
AT,49.688713943301096,21,19,55,"(3,3)",1,"(15,15)",35,19,"(2,2)","(2,2)","(5,5)"
AT,50.952283277555864,23,29,42,"(3,3)",1.0,"(20,20)",35,20.1,"(2,2)","(2,2)","(5,5)"
AT,46.0549224105303,15,19,99,"(3,3)",1,"(3,3)",41,17,"(2,2)","(2,2)","(5,5)"
AT,48.93559766000175,20,19,55,"(3,3)",1,"(15,15)",35,19,"(2,2)","(2,2)","(5,5)"
AT,51.745709412642576,19,29,42,"(3,3)",1.0,"(20,20)",35,22.1,"(2,2)","(2,2)","(5,5)"
AT,51.343919366148725,23,29,42,"(3,3)",1.0,"(20,20)",33,19,"(2,2)","(2,2)","(5,5)"
AT,49.12145935630508,17,19,55,"(3,3)",1,"(15,15)",37,19,"(2,2)","(2,2)","(5,5)"
AT,46.00136680087798,15,19,99,"(3,3)",1,"(3,3)",41,17,"(2,2)","(2,2)","(5,5)"
AT,46.76819284168037,16,19,99,"(3,3)",1,"(3,3)",41,25,"(2,2)","(2,2)","(5,5)"
HR,37.05597659885653,12,30,44,"(3,3)",2.6,"(20,20)",35,9,"(2,2)","(2,2)","(5,5)"
HR,27.396416434970654,15,29,42,"(3,3)",2.2,"(20,20)",33,11.1,"(2,2)","(2,2)","(5,5)"
HR,35.11723019426718,10,29,42,"(3,3)",2.2,"(20,20)",45,13.1,"(2,2)","(2,2)","(5,5)"
HR,34.13310735002745,11,29,42,"(3,3)",2.2,"(20,20)",45,13.1,"(2,2)","(2,2)","(5,5)"
HR,34.55362601902174,11,29,42,"(3,3)",2.2,"(20,20)",45,13.1,"(2,2)","(2,2)","(5,5)"
HR,28.160187667560322,15,29,42,"(3,3)",2.2,"(20,20)",45,11.1,"(2,2)","(2,2)","(5,5)"
HR,26.62402972273674,15,29,42,"(3,3)",2.2,"(20,20)",39,11.1,"(2,2)","(2,2)","(5,5)"
HR,35.69139454094293,15,29,42,"(3,3)",2.4,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,36.59515717926933,15,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,26.119864379736736,15,29,42,"(3,3)",2.2,"(20,20)",39,11.1,"(2,2)","(2,2)","(5,5)"
HR,37.19831730769231,5,30,44,"(3,3)",2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,28.60800904357358,13,29,42,"(3,3)",2.2,"(20,20)",45,11.1,"(2,2)","(2,2)","(5,5)"
HR,26.06374326082915,15,29,42,"(3,3)",2.2,"(20,20)",39,11.1,"(2,2)","(2,2)","(5,5)"
HR,25.842435795930605,16,29,42,"(3,3)",2.2,"(20,20)",59,13.1,"(2,2)","(2,2)","(5,5)"
HR,25.24661762774202,13,29,42,"(3,3)",2.2,"(20,20)",59,11.1,"(2,2)","(2,2)","(5,5)"
HR,33.90123654194649,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,34.01641672347194,7,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,30.118327930999676,15,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,27.876901332615425,16,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,25.086709387784655,16,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,26.398990805113254,15,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,26.210778696601004,15,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,27.567952224144666,15,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,24.963961569430655,10,26,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,27.541636947218258,11,27,43,"(3,3)",2.9,"(20,20)",45,11.9,"(2,2)","(2,2)","(6,6)"
PL,23.555093074343855,8,27,43,"(3,3)",2.9,"(20,20)",43,11.9,"(2,2)","(2,2)","(6,6)"
PL,26.949174697864553,8,27,43,"(3,3)",2.9,"(20,20)",43,11.9,"(2,2)","(2,2)","(6,6)"
PL,25.921619293712318,17,27,43,"(3,3)",2.9,"(20,20)",43,11.9,"(2,2)","(2,2)","(6,6)"
PL,27.58882714243931,20,27,43,"(3,3)",2.8,"(20,20)",43,11.9,"(2,2)","(2,2)","(6,6)"
SI,37.025006298815825,15,29,42,"(3,3)",2.9,"(25,25)",79,17.2,"(2,2)","(2,2)","(5,5)"
PL,31.31770873124548,22,29,43,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
SI,35.307033080821846,15,29,42,"(3,3)",2.9,"(25,25)",79,17.2,"(2,2)","(2,2)","(5,5)"
PL,33.30279011094888,15,29,43,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,31.22915085482844,19,29,43,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
SI,37.457535809354795,13,29,42,"(3,3)",2.9,"(25,25)",63,13.2,"(2,2)","(2,2)","(5,5)"
PL,30.210073504844637,16,30,42,"(3,3)",2.2,"(20,20)",43,9.8,"(2,2)","(3,3)","(5,5)"
SI,",29.35402378520356",13,29,42,"(3,3)",2.2,"(25,25)",61,13.2,"(2,2)","(2,2)","(5,5)"
SI,30.10766278576305,12,29,42,"(3,3)",2.2,"(25,25)",81,13.2,"(2,2)","(2,2)","(5,5)"
SI,32.21557952579627,12,29,42,"(3,3)",2.2,"(25,25)",81,9.2,"(2,2)","(2,2)","(5,5)"
SI,24.84435408195183,12,29,42,"(3,3)",2.2,"(25,25)",81,9.2,"(2,2)","(2,2)","(5,5)"
PL,33.654065405437215,22,28,43,"(3,3)",2.3,"(20,20)",39,11.9,"(2,2)","(2,2)","(5,5)"
SI,26.26336822613559,12,29,42,"(3,3)",2.2,"(25,25)",49,9.2,"(2,2)","(2,2)","(5,5)"
SI,27.44497852820613,10,29,42,"(3,3)",2.2,"(25,25)",45,9.2,"(2,2)","(2,2)","(5,5)"
SI,31.01094973151323,10,29,42,"(3,3)",2.2,"(25,25)",41,9.2,"(2,2)","(2,2)","(5,5)"
PL,30.156710402579375,21,29,42,"(3,3)",2.9,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
SI,31.02937170037773,10,29,42,"(3,3)",2.2,"(25,25)",35,9.2,"(2,2)","(2,2)","(5,5)"
PL,31.34778237226691,15,30,42,"(3,3)",2.9,"(25,25)",49,13.9,"(2,2)","(2,2)","(6,6)"
SI,39.09340940677346,7,29,42,"(3,3)",2.2,"(25,25)",85,9.2,"(2,2)","(2,2)","(5,5)"
PL,31.40660864242756,19,30,42,"(3,3)",2.9,"(20,20)",49,13.9,"(2,2)","(2,2)","(6,6)"
SI,36.373388784840806,7,29,42,"(3,3)",2.2,"(25,25)",85,9.2,"(2,2)","(2,2)","(5,5)"
HU,26.782077549951474,19,29,42,"(3,3)",4.7,"(35,35)",55,19,"(2,2)","(2,2)","(5,5)"
HU,28.604020052058228,17,29,42,"(3,3)",5.1,"(35,35)",43,13,"(2,2)","(2,2)","(5,5)"
HU,35.31145966709347,18,29,42,"(3,3)",1.7,"(30,30)",95,11.1,"(2,2)","(2,2)","(5,5)"
PL,34.11568087484036,18,30,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,32.94359420131141,16,30,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,33.572055285199994,14,30,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,31.862194647832567,18,30,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,33.83595992322727,18,30,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,32.53432683930953,17,29,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
HU,34.4094577553594,18,29,42,"(3,3)",1.7,"(30,30)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,33.76126560821697,24,29,42,"(3,3)",1.7,"(30,30)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,33.58666725011039,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,33.58410742205463,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,34.20289591663637,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,36.42520612485277,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
